,Survived,Pclass,Fare,Child,gender
171,0,3,29.125,1,0
172,1,3,11.1333,1,1
173,0,3,7.925,0,0
174,0,1,30.6958,0,0
175,0,3,7.8542,1,0
176,0,3,25.4667,1,0
177,0,1,28.7125,0,1
178,0,2,13.0,0,0
179,0,3,0.0,0,0
180,0,3,69.55,1,1
181,0,2,15.05,1,0
182,0,3,31.3875,1,0
183,1,2,39.0,1,0
184,1,3,22.025,1,1
185,0,1,50.0,1,0
186,1,3,15.5,1,1
187,1,1,26.55,0,0
188,0,3,15.5,0,0
189,0,3,7.8958,0,0
190,1,2,13.0,0,1
191,0,2,13.0,0,0
192,1,3,7.8542,0,1
193,1,2,26.0,1,0
194,1,1,27.7208,0,1
195,1,1,146.5208,0,1
196,0,3,7.75,1,0
197,0,3,8.4042,0,0
198,1,3,7.75,1,1
199,0,2,13.0,0,1
200,0,3,9.5,0,0
201,0,3,69.55,1,0
202,0,3,6.4958,0,0
203,0,3,7.225,0,0
204,1,3,8.05,1,0
205,0,3,10.4625,1,1
206,0,3,15.85,0,0
207,1,3,18.7875,0,0
208,1,3,7.75,1,1
209,1,1,31.0,0,0
210,0,3,7.05,0,0
211,1,2,21.0,0,1
212,0,3,7.25,0,0
213,0,2,13.0,0,0
214,0,3,7.75,1,0
215,1,1,113.275,0,1
216,1,3,7.925,0,1
217,0,2,27.0,0,0
218,1,1,76.2917,0,1
219,0,2,10.5,0,0
220,1,3,8.05,1,0
221,0,2,13.0,0,0
222,0,3,8.05,0,0
223,0,3,7.8958,1,0
224,1,1,90.0,0,0
225,0,3,9.35,0,0
226,1,2,10.5,0,0
227,0,3,7.25,0,0
228,0,2,13.0,1,0
229,0,3,25.4667,1,1
230,1,1,83.475,0,1
231,0,3,7.775,0,0
232,0,2,13.5,0,0
233,1,3,31.3875,1,1
234,0,2,10.5,0,0
235,0,3,7.55,1,1
236,0,2,26.0,0,0
237,1,2,26.25,1,1
238,0,2,10.5,0,0
239,0,2,12.275,0,0
240,0,3,14.4542,1,1
241,1,3,15.5,1,1
242,0,2,10.5,0,0
243,0,3,7.125,0,0
244,0,3,7.225,0,0
245,0,1,90.0,0,0
246,0,3,7.775,0,1
247,1,2,14.5,0,1
248,1,1,52.5542,0,0
249,0,2,26.0,0,0
250,0,3,7.25,1,0
251,0,3,10.4625,0,1
252,0,1,26.55,0,0
253,0,3,16.1,0,0
254,0,3,20.2125,0,1
255,1,3,15.2458,0,1
256,1,1,79.2,1,1
257,1,1,86.5,0,1
258,1,1,512.3292,0,1
259,1,2,26.0,0,1
260,0,3,7.75,1,0
261,1,3,31.3875,1,0
262,0,1,79.65,0,0
263,0,1,0.0,0,0
264,0,3,7.75,1,1
265,0,2,10.5,0,0
266,0,3,39.6875,1,0
267,1,3,7.775,0,0
268,1,1,153.4625,0,1
269,1,1,135.6333,0,1
270,0,1,31.0,1,0
271,1,3,0.0,0,0
272,1,2,19.5,0,1
273,0,1,29.7,0,0
274,1,3,7.75,1,1
275,1,1,77.9583,0,1
276,0,3,7.75,0,1
277,0,2,0.0,1,0
278,0,3,29.125,1,0
279,1,3,20.25,0,1
280,0,3,7.75,0,0
281,0,3,7.8542,0,0
282,0,3,9.5,1,0
283,1,3,8.05,0,0
284,0,1,26.0,1,0
285,0,3,8.6625,0,0
286,1,3,9.5,0,0
287,0,3,7.8958,0,0
288,1,2,13.0,0,0
289,1,3,7.75,0,1
290,1,1,78.85,0,1
291,1,1,91.0792,0,1
292,0,2,12.875,0,0
293,0,3,8.85,0,1
294,0,3,7.8958,0,0
295,0,1,27.7208,1,0
296,0,3,7.2292,0,0
297,0,1,151.55,1,1
298,1,1,30.5,1,0
299,1,1,247.5208,0,1
300,1,3,7.75,1,1
301,1,3,23.25,1,0
302,0,3,0.0,0,0
303,1,2,12.35,1,1
304,0,3,8.05,1,0
305,1,1,151.55,1,0
306,1,1,110.8833,1,1
307,1,1,108.9,1,1
308,0,2,24.0,0,0
309,1,1,56.9292,0,1
310,1,1,83.1583,0,1
311,1,1,262.375,1,1
312,0,2,26.0,0,1
313,0,3,7.8958,0,0
314,0,2,26.25,0,0
315,1,3,7.8542,0,1
316,1,2,26.0,0,1
317,0,2,14.0,0,0
318,1,1,164.8667,0,1
319,1,1,134.5,0,1
320,0,3,7.25,0,0
321,0,3,7.8958,0,0
322,1,2,12.35,0,1
323,1,2,29.0,0,1
324,0,3,69.55,1,0
325,1,1,135.6333,0,1
326,0,3,6.2375,0,0
327,1,2,13.0,0,1
328,1,3,20.525,0,1
329,1,1,57.9792,1,1
330,1,3,23.25,1,1
331,0,1,28.5,0,0
332,0,1,153.4625,0,0
333,0,3,18.0,1,0
334,1,1,133.65,1,1
335,0,3,7.8958,1,0
336,0,1,66.6,0,0
337,1,1,134.5,0,1
338,1,3,8.05,0,0
339,0,1,35.5,0,0
340,1,2,26.0,1,0
341,1,1,263.0,0,1
342,0,2,13.0,0,0
343,0,2,13.0,0,0
344,0,2,13.0,0,0
345,1,2,13.0,0,1
346,1,2,13.0,0,1
347,1,3,16.1,1,1
348,1,3,15.9,1,0
349,0,3,8.6625,0,0
350,0,3,9.225,0,0
351,0,1,35.0,1,0
352,0,3,7.2292,1,0
353,0,3,17.8,0,0
354,0,3,7.225,1,0
355,0,3,9.5,0,0
356,1,1,55.0,0,1
357,0,2,13.0,0,1
358,1,3,7.8792,1,1
359,1,3,7.8792,1,1
360,0,3,27.9,0,0
361,0,2,27.7208,0,0
362,0,3,14.4542,0,1
363,0,3,7.05,0,0
364,0,3,15.5,1,0
365,0,3,7.25,0,0
366,1,1,75.25,0,1
367,1,3,7.2292,1,1
368,1,3,7.75,1,1
369,1,1,69.3,0,1
370,1,1,55.4417,0,0
371,0,3,6.4958,1,0
372,0,3,8.05,0,0
373,0,1,135.6333,0,0
374,0,3,21.075,1,1
375,1,1,82.1708,1,1
376,1,3,7.25,0,1
377,0,1,211.5,0,0
378,0,3,4.0125,0,0
379,0,3,7.775,0,0
380,1,1,227.525,0,1
381,1,3,15.7417,1,1
382,0,3,7.925,0,0
383,1,1,52.0,0,1
384,0,3,7.8958,1,0
385,0,2,73.5,1,0
386,0,3,46.9,1,0
387,1,2,13.0,0,1
388,0,3,7.7292,1,0
389,1,2,12.0,1,1
390,1,1,120.0,0,0
391,1,3,7.7958,0,0
392,0,3,7.925,0,0
393,1,1,113.275,0,1
394,1,3,16.7,0,1
395,0,3,7.7958,0,0
396,0,3,7.8542,0,1
397,0,2,26.0,0,0
398,0,2,10.5,0,0
399,1,2,12.65,0,1
400,1,3,7.925,0,0
401,0,3,8.05,0,0
402,0,3,9.825,0,1
403,0,3,15.85,0,0
404,0,3,8.6625,0,1
405,0,2,21.0,0,0
406,0,3,7.75,0,0
407,1,2,18.75,1,0
408,0,3,7.775,0,0
409,0,3,25.4667,1,1
410,0,3,7.8958,1,0
411,0,3,6.8583,1,0
412,1,1,90.0,0,1
413,0,2,0.0,1,0
414,1,3,7.925,0,0
415,0,3,8.05,1,1
416,1,2,32.5,0,1
417,1,2,13.0,1,1
418,0,2,13.0,0,0
419,0,3,24.15,1,1
420,0,3,7.8958,1,0
421,0,3,7.7333,0,0
422,0,3,7.875,0,0
423,0,3,14.4,0,1
424,0,3,20.2125,1,0
425,0,3,7.25,1,0
426,1,2,26.0,0,1
427,1,2,26.0,0,1
428,0,3,7.75,1,0
429,1,3,8.05,0,0
430,1,1,26.55,0,0
431,1,3,16.1,1,1
432,1,2,26.0,0,1
433,0,3,7.125,1,0
434,0,1,55.9,0,0
435,1,1,120.0,1,1
436,0,3,34.375,0,1
437,1,2,18.75,0,1
438,0,1,263.0,0,0
439,0,2,10.5,0,0
440,1,2,26.25,0,1
441,0,3,9.5,0,0
442,0,3,7.775,0,0
443,1,2,13.0,0,1
444,1,3,8.1125,1,0
445,1,1,81.8583,1,0
446,1,2,19.5,1,1
447,1,1,26.55,0,0
448,1,3,19.2583,1,1
449,1,1,30.5,0,0
450,0,2,27.75,0,0
451,0,3,19.9667,1,0
452,0,1,27.75,0,0
453,1,1,89.1042,0,0
454,0,3,8.05,1,0
455,1,3,7.8958,0,0
456,0,1,26.55,0,0
457,1,1,51.8625,1,1
458,1,2,10.5,0,1
459,0,3,7.75,1,0
460,1,1,26.55,0,0
461,0,3,8.05,0,0
462,0,1,38.5,0,0
463,0,2,13.0,0,0
464,0,3,8.05,1,0
465,0,3,7.05,0,0
466,0,2,0.0,1,0
467,0,1,26.55,0,0
468,0,3,7.725,1,0
469,1,3,19.2583,1,1
470,0,3,7.25,1,0
471,0,3,8.6625,0,0
472,1,2,27.75,0,1
473,1,2,13.7917,0,1
474,0,3,9.8375,0,1
475,0,1,52.0,1,0
476,0,2,21.0,0,0
477,0,3,7.0458,0,0
478,0,3,7.5208,0,0
479,1,3,12.2875,1,1
480,0,3,46.9,1,0
481,0,2,0.0,1,0
482,0,3,8.05,0,0
483,1,3,9.5875,0,1
484,1,1,91.0792,0,0
485,0,3,25.4667,1,1
486,1,1,90.0,0,1
487,0,1,29.7,0,0
488,0,3,8.05,0,0
489,1,3,15.9,1,0
490,0,3,19.9667,1,0
491,0,3,7.25,0,0
492,0,1,30.5,0,0
493,0,1,49.5042,0,0
494,0,3,8.05,0,0
495,0,3,14.4583,1,0
496,1,1,78.2667,0,1
497,0,3,15.1,1,0
498,0,1,151.55,0,1
499,0,3,7.7958,0,0
500,0,3,8.6625,1,0
501,0,3,7.75,0,1
502,0,3,7.6292,1,1
503,0,3,9.5875,0,1
504,1,1,86.5,1,1
505,0,1,108.9,1,0
506,1,2,26.0,0,1
507,1,1,26.55,1,0
508,0,3,22.525,0,0
509,1,3,56.4958,0,0
510,1,3,7.75,0,0
511,0,3,8.05,1,0
512,1,1,26.2875,0,0
513,1,1,59.4,0,1
514,0,3,7.4958,0,0
515,0,1,34.0208,0,0
516,1,2,10.5,0,1
517,0,3,24.15,1,0
518,1,2,26.0,0,1
519,0,3,7.8958,0,0
520,1,1,93.5,0,1
521,0,3,7.8958,0,0
522,0,3,7.225,1,0
523,1,1,57.9792,0,1
524,0,3,7.2292,1,0
525,0,3,7.75,0,0
526,1,2,10.5,0,1
527,0,1,221.7792,1,0
528,0,3,7.925,0,0
529,0,2,11.5,0,0
530,1,2,26.0,1,1
531,0,3,7.2292,1,0
532,0,3,7.2292,1,0
533,1,3,22.3583,1,1
534,0,3,8.6625,0,1
535,1,2,26.25,1,1
536,0,1,26.55,0,0
537,1,1,106.425,0,1
538,0,3,14.5,1,0
539,1,1,49.5,0,1
540,1,1,71.0,0,1
541,0,3,31.275,1,1
542,0,3,31.275,1,1
543,1,2,26.0,0,0
544,0,1,106.425,0,0
545,0,1,26.0,0,0
546,1,2,26.0,0,1
547,1,2,13.8625,1,0
548,0,3,20.525,0,0
549,1,2,36.75,1,0
550,1,1,110.8833,1,0
551,0,2,26.0,0,0
552,0,3,7.8292,1,0
553,1,3,7.225,0,0
554,1,3,7.775,0,1
555,0,1,26.55,0,0
556,1,1,39.6,0,1
557,0,1,227.525,1,0
558,1,1,79.65,0,1
559,1,3,17.4,0,1
560,0,3,7.75,1,0
561,0,3,7.8958,0,0
562,0,2,13.5,0,0
563,0,3,8.05,1,0
564,0,3,8.05,1,1
565,0,3,24.15,0,0
566,0,3,7.8958,0,0
567,0,3,21.075,0,1
568,0,3,7.2292,1,0
569,1,3,7.8542,0,0
570,1,2,10.5,0,0
571,1,1,51.4792,0,1
572,1,1,26.3875,0,0
573,1,3,7.75,1,1
574,0,3,8.05,1,0
575,0,3,14.5,0,0
576,1,2,13.0,0,1
577,1,1,55.9,0,1
578,0,3,14.4583,1,1
579,1,3,7.925,0,0
580,1,2,30.0,0,1
581,1,1,110.8833,0,1
582,0,2,26.0,0,0
583,0,1,40.125,0,0
584,0,3,8.7125,1,0
585,1,1,79.65,1,1
586,0,2,15.0,0,0
587,1,1,79.2,0,0
588,0,3,8.05,0,0
589,0,3,8.05,1,0
590,0,3,7.125,0,0
591,1,1,78.2667,0,1
592,0,3,7.25,0,0
593,0,3,7.75,1,1
594,0,2,26.0,0,0
595,0,3,24.15,0,0
596,1,2,33.0,1,1
597,0,3,0.0,0,0
598,0,3,7.225,1,0
599,1,1,56.9292,0,0
600,1,2,27.0,0,1
601,0,3,7.8958,1,0
602,0,1,42.4,1,0
603,0,3,8.05,0,0
604,1,1,26.55,0,0
605,0,3,15.55,0,0
606,0,3,7.8958,0,0
607,1,1,30.5,0,0
608,1,2,41.5792,0,1
609,1,1,153.4625,0,1
610,0,3,31.275,0,1
611,0,3,7.05,1,0
612,1,3,15.5,1,1
613,0,3,7.75,1,0
614,0,3,8.05,0,0
615,1,2,65.0,0,1
616,0,3,14.4,0,0
617,0,3,16.1,0,1
618,1,2,39.0,1,1
619,0,2,10.5,0,0
620,0,3,14.4542,0,0
621,1,1,52.5542,0,0
622,1,3,15.7417,0,0
623,0,3,7.8542,0,0
624,0,3,16.1,0,0
625,0,1,32.3208,0,0
626,0,2,12.35,0,0
627,1,1,77.9583,0,1
628,0,3,7.8958,0,0
629,0,3,7.7333,1,0
630,1,1,30.0,0,0
631,0,3,7.0542,0,0
632,1,1,30.5,0,0
633,0,1,0.0,1,0
634,0,3,27.9,1,1
635,1,2,13.0,0,1
636,0,3,7.925,0,0
637,0,2,26.25,0,0
638,0,3,39.6875,0,1
639,0,3,16.1,1,0
640,0,3,7.8542,0,0
641,1,1,69.3,0,1
642,0,3,27.9,1,1
643,1,3,56.4958,1,0
644,1,3,19.2583,1,1
645,1,1,76.7292,0,0
646,0,3,7.8958,0,0
647,1,1,35.5,0,0
648,0,3,7.55,1,0
649,1,3,7.55,0,1
650,0,3,7.8958,1,0
651,1,2,23.0,1,1
652,0,3,8.4333,0,0
653,1,3,7.8292,1,1
654,0,3,6.75,1,1
655,0,2,73.5,0,0
656,0,3,7.8958,1,0
657,0,3,15.5,0,1
658,0,2,13.0,0,0
659,0,1,113.275,0,0
660,1,1,133.65,0,0
661,0,3,7.225,0,0
662,0,1,25.5875,0,0
663,0,3,7.4958,0,0
664,1,3,7.925,0,0
665,0,2,73.5,0,0
666,0,2,13.0,0,0
667,0,3,7.775,1,0
668,0,3,8.05,0,0
669,1,1,52.0,1,1
670,1,2,39.0,0,1
671,0,1,52.0,0,0
672,0,2,10.5,0,0
673,1,2,13.0,0,0
674,0,2,0.0,1,0
675,0,3,7.775,1,0
676,0,3,8.05,0,0
677,1,3,9.8417,1,1
678,0,3,46.9,0,1
679,1,1,512.3292,0,0
680,0,3,8.1375,1,1
681,1,1,76.7292,0,0
682,0,3,9.225,0,0
683,0,3,46.9,1,0
684,0,2,39.0,0,0
685,0,2,41.5792,0,0
686,0,3,39.6875,1,0
687,0,3,10.1708,0,0
688,0,3,7.7958,1,0
689,1,1,211.3375,1,1
690,1,1,57.0,0,0
691,1,3,13.4167,1,1
692,1,3,56.4958,1,0
693,0,3,7.225,0,0
694,0,1,26.55,0,0
695,0,2,13.5,0,0
696,0,3,8.05,0,0
697,1,3,7.7333,1,1
698,0,1,110.8833,0,0
699,0,3,7.65,0,0
700,1,1,227.525,1,1
701,1,1,26.2875,0,0
702,0,3,14.4542,1,1
703,0,3,7.7417,0,0
704,0,3,7.8542,0,0
705,0,2,26.0,0,0
706,1,2,13.5,0,1
707,1,1,26.2875,0,0
708,1,1,151.55,0,1
709,1,3,15.2458,1,0
710,1,1,49.5042,0,1
711,0,1,26.55,1,0
712,1,1,52.0,0,0
713,0,3,9.4833,0,0
714,0,2,13.0,0,0
715,0,3,7.65,0,0
716,1,1,227.525,0,1
717,1,2,10.5,0,1
718,0,3,15.5,1,0
719,0,3,7.775,0,0
720,1,2,33.0,1,1
721,0,3,7.0542,1,0
722,0,2,13.0,0,0
723,0,2,13.0,0,0
724,1,1,53.1,0,0
725,0,3,8.6625,0,0
726,1,2,21.0,0,1
727,1,3,7.7375,1,1
728,0,2,26.0,0,0
729,0,3,7.925,0,1
730,1,1,211.3375,0,1
731,0,3,18.7875,1,0
732,0,2,0.0,1,0
733,0,2,13.0,0,0
734,0,2,13.0,0,0
735,0,3,16.1,0,0
736,0,3,34.375,0,1
737,1,1,512.3292,0,0
738,0,3,7.8958,1,0
739,0,3,7.8958,1,0
740,1,1,30.0,1,0
741,0,1,78.85,0,0
742,1,1,262.375,0,1
743,0,3,16.1,0,0
744,1,3,7.925,0,0
745,0,1,71.0,0,0
746,0,3,20.25,1,0
747,1,2,13.0,0,1
748,0,1,53.1,0,0
749,0,3,7.75,0,0
750,1,2,23.0,1,1
751,1,3,12.475,1,0
752,0,3,9.5,0,0
753,0,3,7.8958,0,0
754,1,2,65.0,0,1
755,1,2,14.5,1,0
756,0,3,7.7958,0,0
757,0,2,11.5,1,0
758,0,3,8.05,0,0
759,1,1,86.5,0,1
760,0,3,14.5,1,0
761,0,3,7.125,0,0
762,1,3,7.2292,0,0
763,1,1,120.0,0,1
764,0,3,7.775,1,0
765,1,1,77.9583,0,1
766,0,1,39.6,1,0
767,0,3,7.75,0,1
768,0,3,24.15,1,0
769,0,3,8.3625,0,0
770,0,3,9.5,0,0
771,0,3,7.8542,0,0
772,0,2,10.5,0,1
773,0,3,7.225,1,0
774,1,2,23.0,0,1
775,0,3,7.75,1,0
776,0,3,7.75,1,0
777,1,3,12.475,1,1
778,0,3,7.7375,1,0
779,1,1,211.3375,0,1
780,1,3,7.2292,1,1
781,1,1,57.0,1,1
782,0,1,30.0,0,0
783,0,3,23.45,1,0
784,0,3,7.05,0,0
785,0,3,7.25,0,0
786,1,3,7.4958,1,1
787,0,3,29.125,1,0
788,1,3,20.575,1,0
789,0,1,79.2,0,0
790,0,3,7.75,1,0
791,0,2,26.0,1,0
792,0,3,69.55,1,1
793,0,1,30.6958,1,0
794,0,3,7.8958,0,0
795,0,2,13.0,0,0
796,1,1,25.9292,0,1
797,1,3,8.6833,0,1
798,0,3,7.2292,0,0
799,0,3,24.15,0,1
800,0,2,13.0,0,0
801,1,2,26.25,0,1
802,1,1,120.0,1,0
803,1,3,8.5167,1,0
804,1,3,6.975,0,0
805,0,3,7.775,0,0
806,0,1,0.0,0,0
807,0,3,7.775,1,1
808,0,2,13.0,0,0
809,1,1,53.1,0,1
810,0,3,7.8875,0,0
811,0,3,24.15,0,0
812,0,2,10.5,0,0
813,0,3,31.275,1,1
814,0,3,8.05,0,0
815,0,1,0.0,1,0
816,0,3,7.925,0,1
817,0,2,37.0042,0,0
818,0,3,6.45,0,0
819,0,3,27.9,1,0
820,1,1,93.5,0,1
821,1,3,8.6625,0,0
822,0,1,0.0,0,0
823,1,3,12.475,0,1
824,0,3,39.6875,1,0
825,0,3,6.95,1,0
826,0,3,56.4958,1,0
827,1,2,37.0042,1,0
828,1,3,7.75,1,0
829,1,1,80.0,0,1
830,1,3,14.4542,1,1
831,1,2,18.75,1,0
832,0,3,7.2292,1,0
833,0,3,7.8542,0,0
834,0,3,8.3,1,0
835,1,1,83.1583,0,1
836,0,3,8.6625,0,0
837,0,3,8.05,1,0
838,1,3,56.4958,0,0
839,1,1,29.7,1,0
840,0,3,7.925,0,0
841,0,2,10.5,1,0
842,1,1,31.0,0,1
843,0,3,6.4375,0,0
844,0,3,8.6625,1,0
845,0,3,7.55,0,0
846,0,3,69.55,1,0
847,0,3,7.8958,0,0
848,0,2,33.0,0,0
849,1,1,89.1042,1,1
850,0,3,31.275,1,0
851,0,3,7.775,0,0
852,0,3,15.2458,1,1
853,1,1,39.4,1,1
854,0,2,26.0,0,1
855,1,3,9.35,1,1
856,1,1,164.8667,0,1
857,1,1,26.55,0,0
858,1,3,19.2583,0,1
859,0,3,7.2292,1,0
860,0,3,14.1083,0,0
861,0,2,11.5,0,0
862,1,1,25.9292,0,1
863,0,3,69.55,1,1
864,0,2,13.0,0,0
865,1,2,13.0,0,1
866,1,2,13.8583,0,1
867,0,1,50.4958,0,0
868,0,3,9.5,1,0
869,1,3,11.1333,1,0
870,0,3,7.8958,0,0
871,1,1,52.5542,0,1
872,0,1,5.0,0,0
873,0,3,9.0,0,0
874,1,2,24.0,0,1
875,1,3,7.225,1,1
876,0,3,9.8458,0,0
877,0,3,7.8958,0,0
878,0,3,7.8958,1,0
879,1,1,83.1583,0,1
880,1,2,26.0,0,1
881,0,3,7.8958,0,0
882,0,3,10.5167,0,1
883,0,2,10.5,0,0
884,0,3,7.05,0,0
885,0,3,29.125,0,1
886,0,2,13.0,0,0
887,1,1,30.0,0,1
888,0,3,23.45,1,1
889,1,1,30.0,0,0
890,0,3,7.75,0,0
